",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"91,""19_C1_T0+6M"",""D11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"92,""19_C1_T0+6M"",""D17"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"93,""19_C1_T0+6M"",""D1a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"94,""19_C1_T0+6M"",""D2.2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"95,""19_C1_T0+6M"",""D3"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"96,""19_C1_T0+6M"",""D4"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"97,""19_C1_T0+6M"",""D5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"98,""19_C1_T0+6M"",""D6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"99,""19_C1_T0+6M"",""D9"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"""
"100,""19_C2_T0+1.5Y"",""C161"",""20"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"101,""19_C2_T0+1.5Y"",""C163b"",""15"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"102,""19_C2_T0+1.5Y"",""C17"",""47"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"103,""19_C2_T0+1.5Y"",""C17.2"",""329"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"104,""19_C2_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"105,""19_C2_T0+1.5Y"",""C21"",""5"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"106,""19_C2_T0+1.5Y"",""C21.11"",""1"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"107,""19_C2_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"108,""19_C2_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"109,""19_C2_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"110,""19_C2_T0+1.5Y"",""C2r"",""270"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"111,""19_C2_T0+1.5Y"",""C31"",""51"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"112,""19_C2_T0+1.5Y"",""C31.1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"113,""19_C2_T0+1.5Y"",""C31.10"",""5"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"114,""19_C2_T0+1.5Y"",""C31.5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
