",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"3051,""P1R2_C2_T0-18h"",""C31.5"",""10"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3052,""P1R2_C2_T0-18h"",""C31.6"",""13"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3053,""P1R2_C2_T0-18h"",""C31.9"",""8"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3054,""P1R2_C2_T0-18h"",""C31a"",""81"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3055,""P1R2_C2_T0-18h"",""C31c"",""13"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3056,""P1R2_C2_T0-18h"",""C31d"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3057,""P1R2_C2_T0-18h"",""C3d"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3058,""P1R2_C2_T0-18h"",""D1"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3059,""P1R2_C2_T0-18h"",""D1.6"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3060,""P1R2_C2_T0-18h"",""D10"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3061,""P1R2_C2_T0-18h"",""D11"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3062,""P1R2_C2_T0-18h"",""D17"",""44"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3063,""P1R2_C2_T0-18h"",""D1a"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3064,""P1R2_C2_T0-18h"",""D2.2"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3065,""P1R2_C2_T0-18h"",""D3"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3066,""P1R2_C2_T0-18h"",""D4"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3067,""P1R2_C2_T0-18h"",""D5"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3068,""P1R2_C2_T0-18h"",""D6"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3069,""P1R2_C2_T0-18h"",""D9"",""0"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"""
"3070,""P1R2_C2_T0+1.5Y"",""C161"",""8"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3071,""P1R2_C2_T0+1.5Y"",""C163b"",""10"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3072,""P1R2_C2_T0+1.5Y"",""C17"",""42"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3073,""P1R2_C2_T0+1.5Y"",""C17.2"",""408"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3074,""P1R2_C2_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3075,""P1R2_C2_T0+1.5Y"",""C21"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3076,""P1R2_C2_T0+1.5Y"",""C21.11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3077,""P1R2_C2_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3078,""P1R2_C2_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3079,""P1R2_C2_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3080,""P1R2_C2_T0+1.5Y"",""C2r"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3081,""P1R2_C2_T0+1.5Y"",""C31"",""86"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3082,""P1R2_C2_T0+1.5Y"",""C31.1"",""62"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3083,""P1R2_C2_T0+1.5Y"",""C31.10"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3084,""P1R2_C2_T0+1.5Y"",""C31.5"",""10"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3085,""P1R2_C2_T0+1.5Y"",""C31.6"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3086,""P1R2_C2_T0+1.5Y"",""C31.9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3087,""P1R2_C2_T0+1.5Y"",""C31a"",""77"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3088,""P1R2_C2_T0+1.5Y"",""C31c"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3089,""P1R2_C2_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3090,""P1R2_C2_T0+1.5Y"",""C3d"",""287"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3091,""P1R2_C2_T0+1.5Y"",""D1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3092,""P1R2_C2_T0+1.5Y"",""D1.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3093,""P1R2_C2_T0+1.5Y"",""D10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3094,""P1R2_C2_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3095,""P1R2_C2_T0+1.5Y"",""D17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3096,""P1R2_C2_T0+1.5Y"",""D1a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3097,""P1R2_C2_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3098,""P1R2_C2_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3099,""P1R2_C2_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3100,""P1R2_C2_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3101,""P1R2_C2_T0+1.5Y"",""D6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3102,""P1R2_C2_T0+1.5Y"",""D9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3103,""P1R2_C2_T0+6M"",""C161"",""29"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3104,""P1R2_C2_T0+6M"",""C163b"",""22"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3105,""P1R2_C2_T0+6M"",""C17"",""153"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3106,""P1R2_C2_T0+6M"",""C17.2"",""458"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3107,""P1R2_C2_T0+6M"",""C17a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3108,""P1R2_C2_T0+6M"",""C21"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3109,""P1R2_C2_T0+6M"",""C21.11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3110,""P1R2_C2_T0+6M"",""C21.14"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3111,""P1R2_C2_T0+6M"",""C26.b1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3112,""P1R2_C2_T0+6M"",""C26.b2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3113,""P1R2_C2_T0+6M"",""C2r"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3114,""P1R2_C2_T0+6M"",""C31"",""94"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3115,""P1R2_C2_T0+6M"",""C31.1"",""74"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3116,""P1R2_C2_T0+6M"",""C31.10"",""11"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3117,""P1R2_C2_T0+6M"",""C31.5"",""15"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3118,""P1R2_C2_T0+6M"",""C31.6"",""14"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3119,""P1R2_C2_T0+6M"",""C31.9"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3120,""P1R2_C2_T0+6M"",""C31a"",""89"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3121,""P1R2_C2_T0+6M"",""C31c"",""11"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3122,""P1R2_C2_T0+6M"",""C31d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3123,""P1R2_C2_T0+6M"",""C3d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3124,""P1R2_C2_T0+6M"",""D1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3125,""P1R2_C2_T0+6M"",""D1.6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3126,""P1R2_C2_T0+6M"",""D10"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3127,""P1R2_C2_T0+6M"",""D11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3128,""P1R2_C2_T0+6M"",""D17"",""30"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3129,""P1R2_C2_T0+6M"",""D1a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3130,""P1R2_C2_T0+6M"",""D2.2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3131,""P1R2_C2_T0+6M"",""D3"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3132,""P1R2_C2_T0+6M"",""D4"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3133,""P1R2_C2_T0+6M"",""D5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3134,""P1R2_C2_T0+6M"",""D6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3135,""P1R2_C2_T0+6M"",""D9"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"3136,""P1R2_C3_T0+1.5Y"",""C161"",""19"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3137,""P1R2_C3_T0+1.5Y"",""C163b"",""12"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3138,""P1R2_C3_T0+1.5Y"",""C17"",""120"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3139,""P1R2_C3_T0+1.5Y"",""C17.2"",""589"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3140,""P1R2_C3_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3141,""P1R2_C3_T0+1.5Y"",""C21"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3142,""P1R2_C3_T0+1.5Y"",""C21.11"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3143,""P1R2_C3_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3144,""P1R2_C3_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3145,""P1R2_C3_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3146,""P1R2_C3_T0+1.5Y"",""C2r"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3147,""P1R2_C3_T0+1.5Y"",""C31"",""69"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3148,""P1R2_C3_T0+1.5Y"",""C31.1"",""90"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3149,""P1R2_C3_T0+1.5Y"",""C31.10"",""6"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3150,""P1R2_C3_T0+1.5Y"",""C31.5"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3151,""P1R2_C3_T0+1.5Y"",""C31.6"",""8"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3152,""P1R2_C3_T0+1.5Y"",""C31.9"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3153,""P1R2_C3_T0+1.5Y"",""C31a"",""81"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3154,""P1R2_C3_T0+1.5Y"",""C31c"",""6"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3155,""P1R2_C3_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3156,""P1R2_C3_T0+1.5Y"",""C3d"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3157,""P1R2_C3_T0+1.5Y"",""D1"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3158,""P1R2_C3_T0+1.5Y"",""D1.6"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3159,""P1R2_C3_T0+1.5Y"",""D10"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3160,""P1R2_C3_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3161,""P1R2_C3_T0+1.5Y"",""D17"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3162,""P1R2_C3_T0+1.5Y"",""D1a"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3163,""P1R2_C3_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3164,""P1R2_C3_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3165,""P1R2_C3_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3166,""P1R2_C3_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3167,""P1R2_C3_T0+1.5Y"",""D6"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3168,""P1R2_C3_T0+1.5Y"",""D9"",""0"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"3169,""P1R2_S1_T0-18h"",""C161"",""28"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3170,""P1R2_S1_T0-18h"",""C163b"",""11"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3171,""P1R2_S1_T0-18h"",""C17"",""154"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3172,""P1R2_S1_T0-18h"",""C17.2"",""449"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3173,""P1R2_S1_T0-18h"",""C17a"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3174,""P1R2_S1_T0-18h"",""C21"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3175,""P1R2_S1_T0-18h"",""C21.11"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3176,""P1R2_S1_T0-18h"",""C21.14"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3177,""P1R2_S1_T0-18h"",""C26.b1"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3178,""P1R2_S1_T0-18h"",""C26.b2"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3179,""P1R2_S1_T0-18h"",""C2r"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3180,""P1R2_S1_T0-18h"",""C31"",""91"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3181,""P1R2_S1_T0-18h"",""C31.1"",""77"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3182,""P1R2_S1_T0-18h"",""C31.10"",""18"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3183,""P1R2_S1_T0-18h"",""C31.5"",""10"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3184,""P1R2_S1_T0-18h"",""C31.6"",""24"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3185,""P1R2_S1_T0-18h"",""C31.9"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3186,""P1R2_S1_T0-18h"",""C31a"",""91"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3187,""P1R2_S1_T0-18h"",""C31c"",""16"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3188,""P1R2_S1_T0-18h"",""C31d"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3189,""P1R2_S1_T0-18h"",""C3d"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3190,""P1R2_S1_T0-18h"",""D1"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3191,""P1R2_S1_T0-18h"",""D1.6"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3192,""P1R2_S1_T0-18h"",""D10"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
"3193,""P1R2_S1_T0-18h"",""D11"",""0"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"""
