",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"34,""60_S2_T0+6M"",""S"",""t0+06m"",0.65,""Shade_t0+06m"",""G60"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""D"",""0"",""0"",""0"",""58"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""25"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""139"",""0"",""115"",""0"",""407"",""67"",""57"",""0"",""0"",""0"",""72"",""60"""
"36,""62_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G62"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""5"",""4"",""94"",""199"",""9"",""8"",""9"",""0"",""32"",""10"",""220"",""41"",""0"",""4"",""0"",""22"",""6"",""34"",""6"",""0"",""297"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"37,""62_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G62"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""10"",""14"",""45"",""281"",""0"",""0"",""4"",""3"",""0"",""0"",""308"",""30"",""0"",""1"",""0"",""0"",""0"",""37"",""4"",""0"",""263"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"38,""62_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G62"",""C1"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""22"",""27"",""68"",""231"",""0"",""7"",""5"",""6"",""0"",""0"",""273"",""43"",""0"",""3"",""0"",""12"",""7"",""47"",""10"",""0"",""210"",""0"",""0"",""0"",""0"",""29"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"39,""62_C2_T0+6M"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G62"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""15"",""16"",""63"",""277"",""0"",""6"",""4"",""0"",""0"",""0"",""234"",""59"",""0"",""14"",""7"",""21"",""14"",""68"",""14"",""0"",""158"",""0"",""0"",""0"",""0"",""30"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"40,""62_C3_T0+1.5Y"",""C"",""t0+1.5Y"",0.7,""Control_t0+18m"",""G62"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""18"",""15"",""47"",""250"",""0"",""1"",""7"",""0"",""0"",""0"",""326"",""33"",""0"",""8"",""0"",""0"",""0"",""36"",""3"",""0"",""256"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"41,""62_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G62"",""S1"",""Winter"",""t0_shade"",""pcr1"",""C"",""2"",""2"",""83"",""259"",""0"",""3"",""3"",""0"",""30"",""15"",""182"",""49"",""0"",""9"",""0"",""22"",""11"",""50"",""10"",""0"",""270"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"42,""62_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0.35,""Shade_t0+18m"",""G62"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""24"",""3"",""44"",""375"",""0"",""5"",""2"",""0"",""0"",""0"",""0"",""65"",""0"",""5"",""0"",""0"",""6"",""52"",""2"",""0"",""417"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"43,""62_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G62"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""12"",""16"",""60"",""292"",""0"",""11"",""0"",""5"",""0"",""0"",""226"",""80"",""0"",""9"",""0"",""0"",""9"",""72"",""12"",""0"",""165"",""0"",""0"",""0"",""0"",""31"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"44,""62_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G62"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""22"",""17"",""44"",""347"",""0"",""2"",""3"",""0"",""0"",""0"",""261"",""48"",""0"",""5"",""0"",""3"",""11"",""59"",""4"",""0"",""174"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"45,""62_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G62"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""0"",""47"",""595"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""56"",""0"",""256"",""46"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"46,""64_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G64"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""2"",""8"",""88"",""208"",""0"",""4"",""7"",""0"",""25"",""21"",""219"",""52"",""0"",""7"",""4"",""24"",""2"",""60"",""4"",""0"",""265"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
